(352844, 'COD FILLET MSC', 'Fiber, total dietary', 0.0, 'G')
(352844, 'COD FILLET MSC', 'Calcium, Ca', 16.0, 'MG')
(352844, 'COD FILLET MSC', 'Iron, Fe', 0.38, 'MG')
(352844, 'COD FILLET MSC', 'Potassium, K', 420.0, 'MG')
(352844, 'COD FILLET MSC', 'Sodium, Na', 54.0, 'MG')
(352844, 'COD FILLET MSC', 'Vitamin C, total ascorbic acid', 1.0, 'MG')
(359727, 'CODON BLEU CHICKEN POPPERS', 'Fiber, total dietary', 1.2, 'G')
(359727, 'CODON BLEU CHICKEN POPPERS', 'Calcium, Ca', 94.0, 'MG')
(359727, 'CODON BLEU CHICKEN POPPERS', 'Iron, Fe', 1.69, 'MG')
(359727, 'CODON BLEU CHICKEN POPPERS', 'Sodium, Na', 553.0, 'MG')
(359727, 'CODON BLEU CHICKEN POPPERS', 'Vitamin C, total ascorbic acid', 1.4, 'MG')
(373037, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(373037, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(373037, 'COD FILLETS', 'Iron, Fe', 1.59, 'MG')
(373037, 'COD FILLETS', 'Sodium, Na', 204.0, 'MG')
(373037, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(379024, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Fiber, total dietary', 1.2, 'G')
(379024, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Calcium, Ca', 4.0, 'MG')
(379024, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Iron, Fe', 0.07, 'MG')
(379024, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Sodium, Na', 294.0, 'MG')
(379024, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Vitamin C, total ascorbic acid', 1.2, 'MG')
(381291, 'COD FILLET', 'Fiber, total dietary', 1.0, 'G')
(381291, 'COD FILLET', 'Calcium, Ca', 0.0, 'MG')
(381291, 'COD FILLET', 'Iron, Fe', 0.37, 'MG')
(381291, 'COD FILLET', 'Sodium, Na', 296.0, 'MG')
(381291, 'COD FILLET', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(402539, 'COD-FISH IN BISCAYAN SAUCE', 'Fiber, total dietary', 0.0, 'G')
(402539, 'COD-FISH IN BISCAYAN SAUCE', 'Calcium, Ca', 36.0, 'MG')
(402539, 'COD-FISH IN BISCAYAN SAUCE', 'Iron, Fe', 1.31, 'MG')
(402539, 'COD-FISH IN BISCAYAN SAUCE', 'Sodium, Na', 455.0, 'MG')
(402539, 'COD-FISH IN BISCAYAN SAUCE', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(408459, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(408459, 'COD LOINS', 'Calcium, Ca', 14.0, 'MG')
